,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,2737.0,https://www.airbnb.com/rooms/2737,20250300000000.0,05/03/25,city scrape,"Elif's room in cozy, clean flat.","10 min by bus you can get to Piazza Venezia or Colosseum. All shops, gym, many trendy&local restaurants and cafes walking distance. <br />30min from beaches of Ostia and Fiumicino airport by direct train. <br />5 min away from metro B line Piramide stop.<br />EATALY is 5 min walking away where you can eat and shop the most quality Italian food from 9 am to midnight.<br />There is big supermarket open 7/24m just 2 min walking.","It used to be an industrial area until late 80s. <br />Now all the factories have became museums, cultural centers, shops, restaurants, university buildings. <br />It's next to well known Testaccio, Garbatella, Aventino, S.Saba and S.Paolo. <br />It's quite lively especially weekend nights. <br />You can have great time in the excellently located flat. <br />Capitolino Museums and Basilica di S.Paolo which is one of the four big churches of Rome is 15 min walking distance. <br />The only Roman Piramid left from Roman times is just around the corner, next to Protestant cemetery which is one of the most poetic place to visit in the city. There is lovely small museum with free entrance on the Porta San Paolo.",https://a0.muscache.com/pictures/41225252/e9553eba_original.jpg,3047,https://www.airbnb.com/users/show/3047,Elif,18/09/08,"Rome, Italy","I am a Turkish-Italian who was born in Istanbul, travelled in different countries for livning or  visiting  and has been living in Rome since 1998. I live with my three daughters. We speak Turkish, English, Italian, Spanish.
We love traveling and meeting new people. When we are on holiday we don't like staying in the hotels and feeling like a tourist so we rather prefer living in local people's houses and feel like the real life or the place. That's also why we opened our house to people to make them comfortable and feel like locals while they are in Rome.
If you want to come to Rome and feel comfortably as your own home, meet other housemates, live in a non touristic neighborhood but in the same time, be very close to down town, you are in the right place!
Looking forward to meeting you!
",within a few hours,100%,0%,f,https://a0.muscache.com/im/pictures/user/User/original/eb5d16fa-235d-4523-a442-cd2cfcae6bf7.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/eb5d16fa-235d-4523-a442-cd2cfcae6bf7.jpeg?aki_policy=profile_x_medium,Testaccio,7.0,7.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",VIII Appia Antica,,41.87136,12.48215,Private room,Private room,1,1.5,1.5 baths,1.0,1.0,"[""Dedicated workspace"", ""Bidet"", ""Iron"", ""Toaster"", ""Hangers"", ""Refrigerator"", ""High chair"", ""Dining table"", ""Washer"", ""Portable fans"", ""Microwave"", ""Laundromat nearby"", ""Wifi"", ""Coffee maker"", ""Free street parking"", ""Oven"", ""Dishwasher"", ""Stove"", ""Hot water kettle"", ""Long term stays allowed"", ""Cleaning products"", ""Drying rack for clothing"", ""Blender"", ""Luggage dropoff allowed"", ""Hot water"", ""Heating"", ""Wine glasses"", ""Dishes and silverware"", ""Elevator"", ""Air conditioning"", ""Hot tub"", ""First aid kit"", ""Bed linens"", ""Housekeeping - available at extra cost"", ""Hair dryer"", ""Dryer"", ""Cooking basics"", ""Freezer"", ""Free parking on premises"", ""Outdoor dining area"", ""Patio or balcony"", ""Kitchen""]",$56.00,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,,t,30,60,90,365,05/03/25,5,0,0,302,0,0,0.0,26/12/14,08/05/15,4.8,4.6,4.6,4.8,5.0,4.4,4.4,,f,6,0,6,0,0.04
1,3079.0,https://www.airbnb.com/rooms/3079,20250300000000.0,08/03/25,city scrape,Cozy apartment  (2-4)with Colisseum  view,With the view of the Colisseum from the front door and windows and within easy walking distance of the Imperial Forum the apartment is the perfect spot for spending an holiday in Rome.,"Monti neighborhood is one of the best areas in Rome,for having a pleasant staying.<br />Read articles about in on New York Times and The Guardian",https://a0.muscache.com/pictures/miso/Hosting-3079/original/a6aace23-157f-401c-bf66-69833c5264b3.jpeg,3504,https://www.airbnb.com/users/show/3504,Laura,08/10/08,"Rome, Italy","I've a degree in Art History
",within a day,100%,0%,f,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_x_medium,Monti,6.0,11.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",I Centro Storico,,41.895,12.49117,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Paid parking off premises"", ""Dedicated workspace"", ""Iron"", ""Hangers"", ""Refrigerator"", ""Ethernet connection"", ""Wifi"", ""HDTV with standard cable"", ""Coffee maker"", ""Host greets you"", ""Long term stays allowed"", ""Window AC unit"", ""Free washer \u2013 In unit"", ""Pocket wifi"", ""Luggage dropoff allowed"", ""Hot water"", ""Heating"", ""Dishes and silverware"", ""Elevator"", ""Bed linens"", ""Hair dryer"", ""Dryer"", ""Shampoo"", ""Essentials"", ""Extra pillows and blankets"", ""Kitchen""]",$140.00,31,180,31.0,31.0,180.0,180.0,31.0,180.0,,t,24,31,43,303,08/03/25,21,0,0,237,0,0,0.0,02/01/11,30/04/22,4.53,4.38,4.62,4.71,4.86,4.81,4.43,,f,6,6,0,0,0.12
2,11834.0,https://www.airbnb.com/rooms/11834,20250300000000.0,15/03/25,city scrape,"Charming Boschetto Studio, Rome","Fantastic appartment in the Monti district. The apartment is located on the ground floor of a 16th century building renovated in the 19th century; the access is through a nice courtyard, containing an ancient Roman fountain. The place is very quiet, the small courtyard where the apartment is located is very quiet. <br />To feel at home.....the cozy interiors, in harmony with the history of the building and furnished in a modern style with warm colors, make the interior comfortable and familiar!","""Monti"" with its narrow cobblestone alleys, craftsmen's shops, art galleries, small squares and old buildings is an eclectic district in the centre of the city; the city's major archaeological sites are located here, family-run trattorias, wine bars and original vintage boutiques line the squares and side streets.",https://a0.muscache.com/pictures/miso/Hosting-11834/original/1d63cac3-ab09-4395-b933-acd1a4be161a.jpeg,44552,https://www.airbnb.com/users/show/44552,Serena,09/10/09,"Rome, Italy","Hello I'm Serena I was born and live in Rome, I'm an Architect. I like travelling a lot and discovering new cultures.",within a few hours,100%,98%,t,https://a0.muscache.com/im/users/44552/profile_pic/1326136834/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/44552/profile_pic/1326136834/original.jpg?aki_policy=profile_x_medium,Monti,1.0,2.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",I Centro Storico,,41.89544678,12.49118137,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Extra pillows and blankets"", ""Cleaning products"", ""Air conditioning"", ""Hair dryer"", ""Coffee maker: espresso machine"", ""Outdoor furniture"", ""Courtyard view"", ""Baking sheet"", ""Crib"", ""First aid kit"", ""Kitchen"", ""Heating"", ""Paid parking garage on premises"", ""Hot water kettle"", ""Hangers"", ""Board games"", ""Dining table"", ""Stainless steel gas stove"", ""Children\u2019s dinnerware"", ""Books and reading material"", ""Hot water"", ""Fire extinguisher"", ""Iron"", ""HDTV"", ""Paid parking garage off premises"", ""Long term stays allowed"", ""Changing table"", ""Private gym nearby"", ""Drying rack for clothing"", ""Shower gel"", ""Host greets you"", ""Essentials"", ""Shared backyard \u2013 Fully fenced"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Laundromat nearby"", ""Wine glasses"", ""Dishes and silverware"", ""Shampoo"", ""Portable fans"", ""Coffee"", ""Carbon monoxide alarm"", ""Body soap"", ""Bidet"", ""Freezer"", ""Wifi"", ""Single level home"", ""Refrigerator"", ""Children\u2019s books and toys"", ""Cooking basics"", ""Shared patio or balcony"", ""Clothing storage: walk-in closet"", ""Stainless steel oven""]",$110.00,2,28,1.0,2.0,28.0,28.0,2.0,28.0,,t,11,14,26,171,15/03/25,268,45,0,98,46,255,28050.0,01/05/11,08/01/25,4.86,4.86,4.93,4.98,4.96,4.99,4.81,IT058091C29VJSIZQZ,f,1,1,0,0,1.59
3,12398.0,https://www.airbnb.com/rooms/12398,20250300000000.0,06/03/25,city scrape,Casa Donatello - Home far from Home,"Casa Donatello is a newly renovated two-bedroom apartment located at only few minutes of old historical center, on Piazza del Popolo side. The flat has two separate bedrooms and a living room with sofa bed. It is perfect for a couple, a family or a group. Comfortable and useful. Please, send a message before booking in order to make sure about availability. Thanks!","You are at 15 minutes walking distance from historical center on the Piazza del Popolo and Spanish steeps side; 10 minutes (or less) walking distance from Auditorium, Villa Giulia, Villa Borghese, Maxxi Museum, Modern Art Museum, Explora Museum for kids, the new Bridge of Music; 20 minutes walking distance from Castel Sant'Angelo, Saint Peter Church and Vatican Museum.",https://a0.muscache.com/pictures/miso/Hosting-12398/original/fcddb5b9-ecd0-428a-8321-649d6f33d31a.jpeg,11756,https://www.airbnb.com/users/show/11756,Gea,30/03/09,"Rome, Italy","Hello to everybody,
It will be a pleasure to host you and it will be my 'mission' to make you feel like home.
I'm Gea. I'm an Italian native speaker born in Rome. I'm someone who likes to travel and meet new people from different cultures. I like to talk different languages, read books and watch movies in their original language. I like to take pictures, paint, and draw. I'm open to new experiences.",within an hour,100%,96%,t,https://a0.muscache.com/im/users/11756/profile_pic/1349446072/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/11756/profile_pic/1349446072/original.jpg?aki_policy=profile_x_medium,Flaminio,1.0,2.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",II Parioli/Nomentano,,41.92582,12.46928,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Dedicated workspace"", ""Bidet"", ""Iron"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Fire extinguisher"", ""Refrigerator"", ""Paid parking on premises"", ""Coffee"", ""Dining table"", ""Portable fans"", ""Microwave"", ""Wifi"", ""Children\u2019s dinnerware"", ""Coffee maker"", ""Free street parking"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Stove"", ""Hot water kettle"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Drying rack for clothing"", ""Blender"", ""Pets allowed"", ""Hot water"", ""Heating"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""City skyline view"", ""Single level home"", ""Wine glasses"", ""Dishes and silverware"", ""Elevator"", ""Bed linens"", ""Hair dryer"", ""Baking sheet"", ""Shampoo"", ""Essentials"", ""Cooking basics"", ""Freezer"", ""Books and reading material"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""50 inch HDTV with standard cable, Amazon Prime Video"", ""Room-darkening shades"", ""Kitchen""]",$97.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,,t,30,48,71,221,06/03/25,78,11,0,177,11,255,24735.0,18/10/10,30/10/24,4.9,4.89,4.92,4.93,5.0,4.87,4.82,it058091c2kv6epw8f,f,1,1,0,0,0.45
4,1.2115e+18,https://www.airbnb.com/rooms/1211500232171693714,20250300000000.0,05/03/25,city scrape,La Quercia Nera - Trastevere - Centro di Roma,"Discover the charm of Rome by staying in our newly renovated apartment a short walk from Trastevere Station. Easily reachable if you arrive by plane or train. Ideal base for exploring the city, with great connections and attractions at your fingertips. Ideal for couples or families, the accommodation consists of 4 private rooms, each equipped with bathroom and private balcony to ensure maximum privacy and comfort.<br />The common area consists of a fully equipped kitchen.","You will appreciate the proximity to Trastevere station, the many buses and trams that pass very close and that will take you quickly to the city center. Close to home you will find good level shops, restaurants and trattorias with good prices.",https://a0.muscache.com/pictures/hosting/Hosting-1211500232171693714/original/eaaf964a-0395-4c40-bb4b-c7598f449321.jpeg,590573096,https://www.airbnb.com/users/show/590573096,Mario,18/07/24,"Rome, Italy",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/6551005b-4afe-4d03-8cb7-2639ce1160c4.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/6551005b-4afe-4d03-8cb7-2639ce1160c4.jpeg?aki_policy=profile_x_medium,,5.0,5.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",XII Monte Verde,,41.875124,12.4660634,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,"[""Dedicated workspace"", ""Bidet"", ""Iron"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Fire extinguisher"", ""Refrigerator"", ""Paid parking garage off premises"", ""Coffee"", ""Ethernet connection"", ""Dining table"", ""Self check-in"", ""Microwave"", ""TV"", ""Laundromat nearby"", ""Candy oven"", ""Wifi"", ""Free street parking"", ""Other induction stove"", ""Hot water kettle"", ""Washer \u2013\u00a0In unit"", ""Cleaning products"", ""Paid dryer \u2013 In unit"", ""Drying rack for clothing"", ""Luggage dropoff allowed"", ""Lock on bedroom door"", ""Hot water"", ""Body soap"", ""Carbon monoxide alarm"", ""Wine glasses"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker, Nespresso"", ""Outdoor furniture"", ""Air conditioning"", ""Central heating"", ""Elevator"", ""Smart lock"", ""First aid kit"", ""Bed linens"", ""Shower gel"", ""Hair dryer"", ""Baking sheet"", ""Private patio or balcony"", ""Shampoo"", ""Cooking basics"", ""Clothing storage: closet"", ""Freezer"", ""Extra pillows and blankets"", ""Table corner guards"", ""Exterior security cameras on property"", ""Room-darkening shades"", ""Kitchen""]",$81.00,1,28,1.0,2.0,28.0,28.0,1.1,28.0,,t,25,55,83,258,05/03/25,5,5,3,258,0,30,2430.0,17/01/25,25/02/25,5.0,5.0,5.0,5.0,5.0,4.8,5.0,IT058091C2P495DNNK,f,5,1,4,0,3.13
5,1.21151e+18,https://www.airbnb.com/rooms/1211508050662517878,20250300000000.0,05/03/25,city scrape,The Black Tower - Trastevere - Center of Rome,"Discover the charm of Rome by staying in our newly renovated apartment a few steps from the Staz. Trastevere. Easily reachable whether you arrive by plane or train. An ideal base for exploring the city, with excellent transport links and attractions close at hand. Ideal for groups or families, the accommodation consists of 4 private rooms, each equipped with a bathroom and private balcony to ensure maximum privacy and comfort. The common area consists of a fully equipped kitchen.","You will appreciate the proximity to Trastevere station, the many buses and trams that pass very close and that will take you quickly to the city center. Close to home you will find good level shops, restaurants and trattorias with good prices.",https://a0.muscache.com/pictures/hosting/Hosting-1211508050662517878/original/21ae1b85-83d1-4f40-b210-1d27ef94fc62.jpeg,590573096,https://www.airbnb.com/users/show/590573096,Mario,18/07/24,"Rome, Italy",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/6551005b-4afe-4d03-8cb7-2639ce1160c4.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/6551005b-4afe-4d03-8cb7-2639ce1160c4.jpeg?aki_policy=profile_x_medium,,5.0,5.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",XII Monte Verde,,41.875124,12.4660634,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,"[""43 inch HDTV with Amazon Prime Video, Netflix"", ""Bidet"", ""Iron"", ""Dedicated workspace"", ""Smoke alarm"", ""Hangers"", ""Fire extinguisher"", ""Toaster"", ""Paid parking garage off premises"", ""Coffee"", ""Ethernet connection"", ""Dining table"", ""Self check-in"", ""Microwave"", ""Laundromat nearby"", ""Paid washer \u2013 In unit"", ""Wifi"", ""Free street parking"", ""Other induction stove"", ""Hot water kettle"", ""Cleaning products"", ""Paid dryer \u2013 In unit"", ""Drying rack for clothing"", ""Candy stainless steel double oven"", ""Luggage dropoff allowed"", ""Lock on bedroom door"", ""Hot water"", ""Body soap"", ""Carbon monoxide alarm"", ""Wine glasses"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker, Nespresso"", ""Elevator"", ""Air conditioning"", ""Central heating"", ""Smart lock"", ""Clothing storage: wardrobe"", ""First aid kit"", ""Cleaning available during stay"", ""Bed linens"", ""Shower gel"", ""Hair dryer"", ""Baking sheet"", ""Shampoo"", ""Cooking basics"", ""Freezer"", ""Extra pillows and blankets"", ""Candy refrigerator"", ""Table corner guards"", ""Exterior security cameras on property"", ""Room-darkening shades"", ""Kitchen""]",$71.00,1,28,1.0,2.0,1125.0,1125.0,1.3,1125.0,,t,18,41,62,237,05/03/25,9,9,4,237,4,54,3834.0,26/10/24,02/03/25,5.0,5.0,5.0,4.89,5.0,4.89,5.0,IT058091C2P495DNNK,t,5,1,4,0,2.06
69,53670.0,https://www.airbnb.com/rooms/53670,20250300000000.0,09/03/25,previous scrape,Cozy and quiet  flat  few blocks bytheColisseum,"Quaint neighborhood,apartment bright,comfortable and well furnished",The view of the Colisseum!,https://a0.muscache.com/pictures/88daea90-d87f-4231-a131-d49761aa68ea.jpg,3504,https://www.airbnb.com/users/show/3504,Laura,08/10/08,"Rome, Italy","I've a degree in Art History
",within a day,100%,0%,f,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_x_medium,Monti,6.0,11.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",I Centro Storico,,41.89515,12.4906,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Dedicated workspace"", ""Iron"", ""Smoke alarm"", ""Hangers"", ""Refrigerator"", ""Ethernet connection"", ""40 inch HDTV with standard cable"", ""Private entrance"", ""Wifi"", ""Coffee maker"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Stove"", ""Long term stays allowed"", ""Pocket wifi"", ""Luggage dropoff allowed"", ""Hot water"", ""Heating"", ""Carbon monoxide alarm"", ""Single level home"", ""Dishes and silverware"", ""Elevator"", ""Bed linens"", ""Hair dryer"", ""Dryer"", ""Shampoo"", ""Essentials"", ""AC - split type ductless system"", ""Cooking basics"", ""Extra pillows and blankets"", ""Free washer \u2013 In building"", ""Kitchen""]",,90,240,90.0,90.0,240.0,240.0,90.0,240.0,,t,30,60,90,365,09/03/25,44,0,0,298,0,0,,29/12/10,31/12/22,4.81,4.74,4.9,4.86,4.86,4.93,4.64,,f,6,6,0,0,0.25
70,53844.0,https://www.airbnb.com/rooms/53844,20250300000000.0,15/03/25,city scrape,Gorgeous studio Monti area 4 blocks bytheColisseum,,"View of the Colisseum from the 2 windows!<br />Stores,market, deli,coffee shops,tabacconist,bank with ATM,pharmacy,post office,grocery,wine bar, typical shops,gelaterie,supermarkets,restaurants,pizzerias,police station, are within walking distance",https://a0.muscache.com/pictures/65114958/7aed165f_original.jpg,3504,https://www.airbnb.com/users/show/3504,Laura,08/10/08,"Rome, Italy","I've a degree in Art History
",within a day,100%,0%,f,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_x_medium,Monti,6.0,11.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",I Centro Storico,,41.89709,12.48907,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Extra pillows and blankets"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Oven"", ""Kitchen"", ""Coffee maker"", ""Heating"", ""Hangers"", ""Microwave"", ""Hot water"", ""Pets allowed"", ""Iron"", ""Essentials"", ""Bed linens"", ""Dishwasher"", ""Elevator"", ""Dishes and silverware"", ""Shampoo"", ""Pocket wifi"", ""Carbon monoxide alarm"", ""Stove"", ""Wifi"", ""40 inch HDTV with standard cable"", ""Refrigerator"", ""Dryer"", ""Cooking basics"", ""Washer""]",$97.00,31,180,31.0,31.0,180.0,180.0,31.0,180.0,,t,0,0,0,85,15/03/25,41,0,0,12,0,0,0.0,11/12/10,06/01/20,4.69,4.78,4.88,4.78,4.8,4.95,4.8,,f,6,6,0,0,0.24
95,163107.0,https://www.airbnb.com/rooms/163107,20250300000000.0,11/03/25,city scrape,Charming 1BR/1BA by the Colosseum,Newly remodeled 1 Bedroom apartment walking distance by the Colosseum and all the major historic site in downtown Rome. Great neighborood with lots of restaurants.,"vibrant, cosmopolitan neighborhood with lots of restaurants to choose from. Perfect location to explore downtown Rome either walking or using the public transportation.",https://a0.muscache.com/pictures/1063936/17545fba_original.jpg,21081,https://www.airbnb.com/users/show/21081,Laura,11/06/09,"Rome, Italy","Hi  there, 
my name is Laura and I live in Rome.
I've lived  and worked many years in the United States.

I will be glad to host you in my apartment right in downtown Rome.

Hope to meet you soon!
ciao,
Laura",within an hour,100%,92%,f,https://a0.muscache.com/im/pictures/user/f71a43d3-46ea-4dcd-9c40-982c4ca65ac7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f71a43d3-46ea-4dcd-9c40-982c4ca65ac7.jpg?aki_policy=profile_x_medium,Esquilino,2.0,2.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",I Centro Storico,,41.89312,12.51232,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Dedicated workspace"", ""Iron"", ""Hangers"", ""Dining table"", ""Washer"", ""Portable fans"", ""Clothing storage: closet and dresser"", ""Microwave"", ""Coffee maker: espresso machine"", ""Wifi"", ""Host greets you"", ""Hot water kettle"", ""Stove"", ""Cleaning products"", ""Drying rack for clothing"", ""Pocket wifi"", ""Hot water"", ""Body soap"", ""Smoking allowed"", ""Heating"", ""Wine glasses"", ""Dishes and silverware"", ""Elevator"", ""Bed linens"", ""Beco refrigerator"", ""Conditioner"", ""Hair dryer"", ""32 inch HDTV with Amazon Prime Video, Netflix"", ""Essentials"", ""Cooking basics"", ""Freezer"", ""Books and reading material"", ""Extra pillows and blankets"", ""Kitchen""]",$90.00,31,365,5.0,31.0,365.0,365.0,29.1,365.0,,t,0,0,13,148,11/03/25,17,1,0,79,1,62,5580.0,09/05/14,22/12/24,4.71,4.82,4.65,4.82,4.88,4.53,4.71,"I applied for a CIN, but haven’t received it yet",f,2,2,0,0,0.13
96,163111.0,https://www.airbnb.com/rooms/163111,20250300000000.0,11/03/25,city scrape,Centrally located spacious 1BR/1BA,,,https://a0.muscache.com/pictures/1029444/0c6cb860_original.jpg,21081,https://www.airbnb.com/users/show/21081,Laura,11/06/09,"Rome, Italy","Hi  there, 
my name is Laura and I live in Rome.
I've lived  and worked many years in the United States.

I will be glad to host you in my apartment right in downtown Rome.

Hope to meet you soon!
ciao,
Laura",within an hour,100%,92%,f,https://a0.muscache.com/im/pictures/user/f71a43d3-46ea-4dcd-9c40-982c4ca65ac7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f71a43d3-46ea-4dcd-9c40-982c4ca65ac7.jpg?aki_policy=profile_x_medium,Esquilino,2.0,2.0,"['email', 'phone']",t,t,,I Centro Storico,,41.89415,12.51037,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Iron"", ""Wifi"", ""Heating"", ""Pocket wifi"", ""Washer"", ""Hair dryer"", ""Kitchen"", ""TV with standard cable""]",$91.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,,t,4,4,32,194,11/03/25,9,0,0,125,0,0,0.0,01/05/12,31/05/23,4.75,5.0,4.5,5.0,4.89,4.63,4.63,,f,2,2,0,0,0.06
