,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1,3079.0,https://www.airbnb.com/rooms/3079,20250300000000.0,08/03/25,city scrape,Cozy apartment  (2-4)with Colisseum  view,With the view of the Colisseum from the front door and windows and within easy walking distance of the Imperial Forum the apartment is the perfect spot for spending an holiday in Rome.,"Monti neighborhood is one of the best areas in Rome,for having a pleasant staying.<br />Read articles about in on New York Times and The Guardian",https://a0.muscache.com/pictures/miso/Hosting-3079/original/a6aace23-157f-401c-bf66-69833c5264b3.jpeg,3504,https://www.airbnb.com/users/show/3504,Laura,2008-08-10,"Rome, Italy","I've a degree in Art History
",within a day,100%,0%,f,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_x_medium,Monti,6.0,11.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",I Centro Storico,,41.895,12.49117,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Paid parking off premises"", ""Dedicated workspace"", ""Iron"", ""Hangers"", ""Refrigerator"", ""Ethernet connection"", ""Wifi"", ""HDTV with standard cable"", ""Coffee maker"", ""Host greets you"", ""Long term stays allowed"", ""Window AC unit"", ""Free washer \u2013 In unit"", ""Pocket wifi"", ""Luggage dropoff allowed"", ""Hot water"", ""Heating"", ""Dishes and silverware"", ""Elevator"", ""Bed linens"", ""Hair dryer"", ""Dryer"", ""Shampoo"", ""Essentials"", ""Extra pillows and blankets"", ""Kitchen""]",$140.00,31,180,31.0,31.0,180.0,180.0,31.0,180.0,,t,24,31,43,303,08/03/25,21,0,0,237,0,0,0.0,02/01/11,30/04/22,4.53,4.38,4.62,4.71,4.86,4.81,4.43,,f,6,6,0,0,0.12
65,53203.0,https://www.airbnb.com/rooms/53203,20250300000000.0,15/03/25,city scrape,"Sanniti apartment, San Lorenzo stylish top floor","Quiet and fully accessorized 3 bedrooms/2 baths up to 6 guests.<br />Located on top floor, with elevator, of a newly restored 19th century building in San Lorenzo neighborhood. Modern interior design that combines elegance and functionality.<br />The district, which is very lively and has a strong cultural identity, is full of interesting shops and eateries like bookshop-cafes, pubs, wine bars, restaurants, trattorias and pizzerias. It is well served by public transport.<br />Special rates for long term.","Sanniti apartment is located in the heart of the old and characteristic San Lorenzo. Just a few minutes from Termini station, the San Lorenzo neighborhood is the location of La Sapienza University’s largest campus. The neighborhood’s character is largely lived by a sizable student population, which means that there are plenty of bars and music venues with a more alternative feel, numerous cheap restaurants and a number of used book and clothing stores. Historically a working class area, San Lorenzo has consequently long been off the traditional tourist route. While it may still look a little more run-down than Trastevere, San Lorenzo has become a popular place to go out. Wandering the streets, you’ll discover an intriguing and colorful (everything is covered in graffiti!) part of Rome that will teach you a lot more about the city’s culture – past and present – than many of the conventional tourist sites. The district, which is very lively and has a strong cultural identity, is full of ",https://a0.muscache.com/pictures/12423069/08b80a58_original.jpg,247495,https://www.airbnb.com/users/show/247495,Gabriele,2010-09-28,"Rome, Italy","Hi I'm Gabriele from Rome.
I love travelling and I have been doing it quite extensively in the last few years.
So it's possible that I won't be in Rome to welcome you, but I can rely on my sister and some good friends that are doing their best to help me guaranteeing our guests a pleasant experience.",within a day,100%,40%,f,https://a0.muscache.com/im/pictures/user/d2a520cd-b0e1-4dc4-af85-1d3e7ef55226.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d2a520cd-b0e1-4dc4-af85-1d3e7ef55226.jpg?aki_policy=profile_x_medium,San Lorenzo,1.0,3.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",II Parioli/Nomentano,,41.89805,12.51563,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,4.0,"[""Extra pillows and blankets"", ""Smoke alarm"", ""Cleaning products"", ""Air conditioning"", ""Hair dryer"", ""Crib"", ""First aid kit"", ""Kitchen"", ""Oven"", ""Coffee maker"", ""Heating"", ""Clothing storage: wardrobe"", ""Hot water kettle"", ""Room-darkening shades"", ""Hangers"", ""Patio or balcony"", ""Dining table"", ""Hot water"", ""Fire extinguisher"", ""Paid parking off premises"", ""Iron"", ""Long term stays allowed"", ""Shower gel"", ""Host greets you"", ""Essentials"", ""Bed linens"", ""Toaster"", ""Dishwasher"", ""Elevator"", ""Dishes and silverware"", ""Shampoo"", ""Carbon monoxide alarm"", ""Stove"", ""Body soap"", ""Bidet"", ""Freezer"", ""Wifi"", ""Refrigerator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Washer""]",$108.00,90,1125,7.0,90.0,1125.0,1125.0,75.5,1125.0,,t,0,0,0,14,15/03/25,101,2,0,14,2,255,27540.0,08/11/10,02/09/24,4.67,4.85,4.71,4.91,4.93,4.34,4.74,IT058091C2IBQXC78S,f,1,1,0,0,0.58
69,53670.0,https://www.airbnb.com/rooms/53670,20250300000000.0,09/03/25,previous scrape,Cozy and quiet  flat  few blocks bytheColisseum,"Quaint neighborhood,apartment bright,comfortable and well furnished",The view of the Colisseum!,https://a0.muscache.com/pictures/88daea90-d87f-4231-a131-d49761aa68ea.jpg,3504,https://www.airbnb.com/users/show/3504,Laura,2008-08-10,"Rome, Italy","I've a degree in Art History
",within a day,100%,0%,f,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_x_medium,Monti,6.0,11.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",I Centro Storico,,41.89515,12.4906,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Dedicated workspace"", ""Iron"", ""Smoke alarm"", ""Hangers"", ""Refrigerator"", ""Ethernet connection"", ""40 inch HDTV with standard cable"", ""Private entrance"", ""Wifi"", ""Coffee maker"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Stove"", ""Long term stays allowed"", ""Pocket wifi"", ""Luggage dropoff allowed"", ""Hot water"", ""Heating"", ""Carbon monoxide alarm"", ""Single level home"", ""Dishes and silverware"", ""Elevator"", ""Bed linens"", ""Hair dryer"", ""Dryer"", ""Shampoo"", ""Essentials"", ""AC - split type ductless system"", ""Cooking basics"", ""Extra pillows and blankets"", ""Free washer \u2013 In building"", ""Kitchen""]",,90,240,90.0,90.0,240.0,240.0,90.0,240.0,,t,30,60,90,365,09/03/25,44,0,0,298,0,0,,29/12/10,31/12/22,4.81,4.74,4.9,4.86,4.86,4.93,4.64,,f,6,6,0,0,0.25
70,53844.0,https://www.airbnb.com/rooms/53844,20250300000000.0,15/03/25,city scrape,Gorgeous studio Monti area 4 blocks bytheColisseum,,"View of the Colisseum from the 2 windows!<br />Stores,market, deli,coffee shops,tabacconist,bank with ATM,pharmacy,post office,grocery,wine bar, typical shops,gelaterie,supermarkets,restaurants,pizzerias,police station, are within walking distance",https://a0.muscache.com/pictures/65114958/7aed165f_original.jpg,3504,https://www.airbnb.com/users/show/3504,Laura,2008-08-10,"Rome, Italy","I've a degree in Art History
",within a day,100%,0%,f,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_x_medium,Monti,6.0,11.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",I Centro Storico,,41.89709,12.48907,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Extra pillows and blankets"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Oven"", ""Kitchen"", ""Coffee maker"", ""Heating"", ""Hangers"", ""Microwave"", ""Hot water"", ""Pets allowed"", ""Iron"", ""Essentials"", ""Bed linens"", ""Dishwasher"", ""Elevator"", ""Dishes and silverware"", ""Shampoo"", ""Pocket wifi"", ""Carbon monoxide alarm"", ""Stove"", ""Wifi"", ""40 inch HDTV with standard cable"", ""Refrigerator"", ""Dryer"", ""Cooking basics"", ""Washer""]",$97.00,31,180,31.0,31.0,180.0,180.0,31.0,180.0,,t,0,0,0,85,15/03/25,41,0,0,12,0,0,0.0,11/12/10,06/01/20,4.69,4.78,4.88,4.78,4.8,4.95,4.8,,f,6,6,0,0,0.24
100,68731.0,https://www.airbnb.com/rooms/68731,20250300000000.0,09/03/25,previous scrape,Colisseum bright studio in Monti neighborhood,,,https://a0.muscache.com/pictures/miso/Hosting-68731/original/29a69a95-be72-42dd-967d-abad90d3c495.jpeg,3504,https://www.airbnb.com/users/show/3504,Laura,2008-08-10,"Rome, Italy","I've a degree in Art History
",within a day,100%,0%,f,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3504/profile_pic/1335690922/original.jpg?aki_policy=profile_x_medium,Monti,6.0,11.0,"['email', 'phone']",t,t,,I Centro Storico,,41.89683,12.49124,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Dedicated workspace"", ""Iron"", ""Smoke alarm"", ""Hangers"", ""Refrigerator"", ""Washer"", ""Microwave"", ""Wifi"", ""Coffee maker"", ""Window AC unit"", ""Hot water"", ""Heating"", ""Carbon monoxide alarm"", ""City skyline view"", ""Dishes and silverware"", ""Elevator"", ""Bed linens"", ""TV with standard cable"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Extra pillows and blankets"", ""Kitchen""]",,31,240,31.0,31.0,240.0,240.0,31.0,240.0,,t,21,29,59,59,09/03/25,22,0,0,59,0,0,,23/05/11,23/08/22,4.68,4.86,4.73,4.77,4.82,4.95,4.5,,f,6,6,0,0,0.13
170,255221.0,https://www.airbnb.com/rooms/255221,20250300000000.0,11/03/25,city scrape,CASA BELLA 10min downtown WIFI INCLUDED LASTMINUTE,"""CASA BELLA"" LAST MINUTE! FREE NIGHTS!  10 MINUTES TO THE city CENTRE. INTERNET WIFI INCLUDED!<br /><br />'CASA BELLA' FEW STEPS FROM THE SUBWAY STATION (10 MINUTES RIDE TO MAIN ATTRACTIONS).<br />Contribution for SANITATION and FINAL CLEANING €25.00 to be paid at check-in (NOT INCLUDED IN THE Airbnb PRICE).<br /><br /> WIFI, EN-SUITE TOILET/SHOWER LINEN, AND TOWELS INCLUDED.","""CASA BELLA"" is situated in a peaceful area, the EUR district: the green and modern district of Rome because of its parks, lake and trees.<br /><br />VERY CLOSE TO THE SUBWAY STOP (200 meters, 3 minutes walking) ""Line B"" that takes directly, in only 10 minutes (6 stops) to the center of the city, for example to Colosseum, Palatino and the ancient Roman and Imperial forum, Circo Massimo. <br /><br />You may also get to THE SEASIDE in only 20 minutes by car or even better by train from the same nearest subway station. <br />It is the same line that goes to ""OSTIA ANTICA"" (15 minutes), the splendid ruins of the harbour city of ancient Rome (a little Pompeii).<br /><br />Surroundings of ""CASA BELLA"" , here you have some tips: <br /><br />In 3 minutes walking you get to the subway (line B, 10 minutes/6 stops to the center of the city, for example to Colosseum, Palatino and the ancient Roman and Imperial forum, Circo Massimo). <br /><br />In a 5 minutes walking you will find restaurants, caf",https://a0.muscache.com/pictures/05f36c85-5dc1-48e0-be6c-2cc0dc40558f.jpg,21173109,https://www.airbnb.com/users/show/21173109,Casa Mia,2014-10-09,"Rome, Italy",,within a day,100%,70%,f,https://a0.muscache.com/im/users/21173109/profile_pic/1410424574/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/21173109/profile_pic/1410424574/original.jpg?aki_policy=profile_x_medium,EUR,2.0,2.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",IX Eur,,41.83741,12.46306,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Dedicated workspace"", ""Toaster"", ""Iron"", ""Smoke alarm"", ""Hangers"", ""Fire extinguisher"", ""Refrigerator"", ""High chair"", ""Paid parking on premises"", ""Coffee"", ""Dining table"", ""Mini fridge"", ""Self check-in"", ""Microwave"", ""Children\u2019s books and toys"", ""Laundromat nearby"", ""Private entrance"", ""Wifi"", ""Children\u2019s dinnerware"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Free street parking"", ""Hot water kettle"", ""Long term stays allowed"", ""Stove"", ""Board games"", ""Host greets you"", ""Cleaning products"", ""Blender"", ""Luggage dropoff allowed"", ""Hot water"", ""Body soap"", ""Heating"", ""Carbon monoxide alarm"", ""City skyline view"", ""Crib"", ""Dishes and silverware"", ""Courtyard view"", ""Elevator"", ""First aid kit"", ""Bed linens"", ""EV charger"", ""Ceiling fan"", ""Lockbox"", ""Hair dryer"", ""32 inch HDTV with standard cable"", ""Private patio or balcony"", ""Shampoo"", ""Essentials"", ""AC - split type ductless system"", ""Cooking basics"", ""Freezer"", ""Extra pillows and blankets"", ""Free parking on premises"", ""Room-darkening shades"", ""Kitchen"", ""Safe""]",$100.00,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,,t,30,60,90,361,11/03/25,299,2,0,292,2,124,12400.0,07/03/12,17/08/24,4.68,4.72,4.81,4.86,4.92,4.66,4.63,,t,2,2,0,0,1.89
179,102672.0,https://www.airbnb.com/rooms/102672,20250300000000.0,05/03/25,city scrape,ARIA DI MARE  A 20 KM DA ROMA,"an elegant, , comfortable apartment with a large living room 2 large double bedrooms 1 single room with 2 beds and 2 bathrooms . The apartment can fit up to 9 guests , there is a large perimeter garden with dining area, solarium area.",quiet STATELY  neighborhood with the sea  50 M,https://a0.muscache.com/pictures/110676285/3de4d4f0_original.jpg,536398,https://www.airbnb.com/users/show/536398,Antonella,2011-04-26,"Rome, Italy",,within a day,100%,33%,f,https://a0.muscache.com/im/users/536398/profile_pic/1303826644/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/536398/profile_pic/1303826644/original.jpg?aki_policy=profile_x_medium,Flaminio,3.0,7.0,"['email', 'phone']",t,t,"Lido di Ostia, Lazio, Italy",X Ostia/Acilia,,41.72569,12.28699,Entire condo,Entire home/apt,9,2.0,2 baths,3.0,9.0,"[""Bidet"", ""Iron"", ""Shared beach access \u2013 Beachfront"", ""Hangers"", ""Mosquito net"", ""Refrigerator"", ""Bikes"", ""Coffee"", ""Dining table"", ""Barbecue utensils"", ""Washer"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Microwave"", ""TV"", ""Private entrance"", ""Wifi"", ""Free street parking"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Hot water kettle"", ""Long term stays allowed"", ""Cleaning products"", ""Drying rack for clothing"", ""Private backyard \u2013 Fully fenced"", ""Pets allowed"", ""Luggage dropoff allowed"", ""Hot water"", ""Body soap"", ""Smoking allowed"", ""Heating"", ""Single level home"", ""Crib"", ""Dishes and silverware"", ""BBQ grill: gas"", ""Outdoor furniture"", ""Air conditioning"", ""Folding or convertible high chair"", ""Window guards"", ""Pool - available seasonally"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Bed linens"", ""Hair dryer"", ""Baking sheet"", ""Private patio or balcony"", ""Stainless steel stove"", ""Essentials"", ""Cooking basics"", ""Freezer"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Bathtub"", ""Outdoor dining area"", ""Coffee maker: drip coffee maker, espresso machine"", ""Kitchen"", ""Outdoor shower""]",$250.00,3,730,3.0,3.0,730.0,730.0,3.0,730.0,,t,19,32,55,293,05/03/25,15,0,0,230,0,0,0.0,08/05/18,30/10/23,4.33,4.13,3.73,4.73,4.8,4.87,4.13,IT058091C2VT7YF4HS,f,2,2,0,0,0.18
200,116291.0,https://www.airbnb.com/rooms/116291,20250300000000.0,06/03/25,city scrape,Charming room AL Cupolone Guest House ★,Guest House with 3 double bedrooms available.<br />En-suite bathroom.<br />Free WIFI<br />TV<br />200 meters from the Vatican and near the Vatican Museums and Castel Sant 'Angelo<br />Major places of interest within walking distance<br />Bus stop 64 30 meters away<br />Air conditioning<br />Small refrigerator<br />Tea and coffee set and kettle<br />Microwave possibility of use<br />Immediate proximity to the Bambin Gesù Pediatric Hospital<br /><br />EXTRA OF 40 EUROS FOR LATE CHECK IN AFTER 19:00,"The district is well supplied in  shops, bars and restaurants that you must try to be delighted by the local Roman dishes, and in so many transportation to visit the major monuments.<br />To visit St. Peter's Square instead you just go across the street ... it's right in front of the windows of the rooms.",https://a0.muscache.com/pictures/6ec5e6cd-40fd-4a38-a07e-7b8c8badc9af.jpg,190140,https://www.airbnb.com/users/show/190140,Valter,2010-03-08,"Rome, Italy","Ciao, sono Valter, gestisco la guest house All'Ombra del Cupolone, che prima di essere un'attività commerciale, è stata la casa dove sono nato e cresciuto.
Appena posso, mi piace rilassarmi in campagna, fuori città, e trascorrere del tempo con i cavalli che possiedo.",within a day,100%,19%,f,https://a0.muscache.com/im/pictures/user/15097b0d-57f6-40e4-ad16-0d096c1a330c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/15097b0d-57f6-40e4-ad16-0d096c1a330c.jpg?aki_policy=profile_x_medium,Aurelio,3.0,6.0,"['email', 'phone', 'work_email']",t,t,"Rome, Lazio, Italy",I Centro Storico,,41.90108,12.45784,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1.0,1.0,"[""Dedicated workspace"", ""Iron"", ""Fire extinguisher"", ""Hangers"", ""Refrigerator"", ""TV"", ""Wifi"", ""Host greets you"", ""Long term stays allowed"", ""Hot water"", ""Heating"", ""City skyline view"", ""Air conditioning"", ""First aid kit"", ""Bed linens"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Extra pillows and blankets""]",$113.00,1,28,1.0,1.0,28.0,28.0,1.0,28.0,,t,29,58,88,88,06/03/25,61,5,0,88,5,30,3390.0,18/09/11,25/09/24,4.82,4.87,4.87,4.92,4.88,4.85,4.75,IT058091B45YWDXBGU,f,3,0,3,0,0.37
273,323283.0,https://www.airbnb.com/rooms/323283,20250300000000.0,06/03/25,city scrape,Cozy Room close Metro A - largo spartaco  Quadraro,"Cozy Private Room (Double Bed) with Private Bathroom, fully equipped, 500mt from subway ""Metro A"", ""Numidio Quadrato"".  city center 15 minutes. on REQUEST Italian breakfast ,  time served 9,00-10,30, WiFi. Close to Parco degli Acquedotti,  Via Tuscolana. In the neighborhood restaurants, Pubs. Suitable for couples and single travelers. Check in time 11:00-19:00 (on request in advance/later), check out  10:00 a.m. On REQUEST ; Shuttle from/to airport;T Roman dinner cooked  by me; rent a Bike.","The room is located 5 minutes from the metro station ""Numidio Quadrato"". private parking space under the house.  15 minutes by taxi from Ciampino airport.<br />Close to Parco degli Acquedotti and the Parco of Tor Fiscale (you can rent a Byke and go riding Appia Antiìca). Close to via Tuscolana,  and ideal for shopping. In the neighborhood, the Quadraro,  pubs, restaurants and supermarkets. Among some streets several very beautiful murals, if interested I can show to find them!",https://a0.muscache.com/pictures/3497013/c61e7c3c_original.jpg,1655172,https://www.airbnb.com/users/show/1655172,Poldo,2012-01-26,"Rome, Italy","Music, Sailing, Good cooking..... & Friends all over the world ..... this is the atmosphere ..... ",within a day,100%,91%,f,https://a0.muscache.com/im/users/1655172/profile_pic/1327581425/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1655172/profile_pic/1327581425/original.jpg?aki_policy=profile_x_medium,Quadraro,1.0,1.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",VII San Giovanni/Cinecittà,,41.85921,12.55147,Private room in rental unit,Private room,2,2.0,2 baths,1.0,1.0,"[""Toaster"", ""Bidet"", ""Iron"", ""Smoke alarm"", ""Hangers"", ""Refrigerator"", ""Bikes"", ""Coffee"", ""Portable fans"", ""Microwave"", ""Laundromat nearby"", ""Wifi"", ""Coffee maker"", ""Breakfast"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Stove"", ""Hot water kettle"", ""Drying rack for clothing"", ""Lock on bedroom door"", ""Hot water"", ""Smoking allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Elevator"", ""Air conditioning"", ""Cleaning available during stay"", ""Bed linens"", ""TV with standard cable"", ""Hair dryer"", ""Essentials"", ""Cooking basics"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Kitchen""]",$80.00,3,7,3.0,3.0,7.0,7.0,3.0,7.0,,t,29,59,89,364,06/03/25,90,14,0,300,14,84,6720.0,16/05/13,03/01/25,4.79,4.81,4.83,4.76,4.82,4.6,4.64,IT058091C2KOE7QPGF,f,1,0,1,0,0.63
294,339319.0,https://www.airbnb.com/rooms/339319,20250300000000.0,15/03/25,city scrape,Take a Nap Art - Shiny Room  ROMA,,"It is located near the famous Appia Antica Regional Park, which you can easily walk through the first part of Caffarella Park, a few meters from the B&B, where you can discover the most famous and ancient monumental funerary area of Rome: the Tomb of Priscilla and Cecilia Metella, the Circus of Massenzio, the Tomb of Annia Regilla, the Temple of Adamo, the Catacombs of Santa Domitilla and San Callisto, the church of Quo Vadis Domine and, walking a little more or simply renting a bicycle, you can also reach the area of the Sette Acquedotti.",https://a0.muscache.com/pictures/26109452/2b3b7d30_original.jpg,1722817,https://www.airbnb.com/users/show/1722817,Maria,2012-08-02,"Rome, Italy","Ciao siamo Sylvie, Désirée e Maria, gestiamo in famiglia questo piccolo b&b ed è ormai diventata la normalità che tutti coloro che passano attraverso la nostra struttura arrivano come ospiti e se ne vanno come amici!",within a day,50%,0%,f,https://a0.muscache.com/im/users/1722817/profile_pic/1332183052/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1722817/profile_pic/1332183052/original.jpg?aki_policy=profile_x_medium,,2.0,2.0,"['email', 'phone']",t,t,"Rome, Lazio, Italy",VIII Appia Antica,,41.8641,12.49945,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,2.0,"[""Extra pillows and blankets"", ""Smoke alarm"", ""Cleaning products"", ""Air conditioning"", ""Hair dryer"", ""Ethernet connection"", ""Outdoor furniture"", ""Baking sheet"", ""Kitchen"", ""Clothing storage: wardrobe and dresser"", ""Heating"", ""Hot water kettle"", ""Hangers"", ""Patio or balcony"", ""Dining table"", ""Stainless steel gas stove"", ""Children\u2019s dinnerware"", ""Microwave"", ""Hot water"", ""TV"", ""Fire extinguisher"", ""Iron"", ""Pets allowed"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shower gel"", ""Fireplace guards"", ""Essentials"", ""Bed linens"", ""Toaster"", ""Dishwasher"", ""Elevator"", ""Dishes and silverware"", ""Shampoo"", ""Carbon monoxide alarm"", ""Breakfast"", ""Smoking allowed"", ""Freezer"", ""Wifi"", ""Indoor fireplace"", ""Refrigerator"", ""Cooking basics"", ""Free street parking"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Luggage dropoff allowed"", ""Stainless steel oven"", ""Washer""]",$65.00,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,,t,0,0,20,295,15/03/25,4,0,0,222,0,0,0.0,06/11/13,04/10/19,5.0,4.75,5.0,5.0,5.0,4.75,5.0,,f,2,0,2,0,0.03
